Broker Name:   Stock Name:    Current Value: Changes:       
Broker 2       Commodity      714            19             
Broker 4       Commodity      714            19             
Broker 1       Retail         60             19             
Broker 4       Retail         60             19             
Broker 1       Technology     216            20             
Broker 2       Technology     216            20             
Broker 3       Technology     216            20             
Broker 4       Technology     216            20             
Broker 2       Banking        142            20             
Broker 3       Banking        142            20             
Broker 4       Banking        142            20             
Broker 2       Commodity      723            20             
Broker 4       Commodity      723            20             
Broker 1       Retail         61             20             
Broker 4       Retail         61             20             
Broker 1       Technology     217            21             
Broker 2       Technology     217            21             
Broker 3       Technology     217            21             
Broker 4       Technology     217            21             
Broker 2       Banking        144            21             
Broker 3       Banking        144            21             
Broker 4       Banking        144            21             
Broker 2       Commodity      733            21             
Broker 4       Commodity      733            21             
Broker 1       Retail         62             21             
Broker 4       Retail         62             21             
Broker 1       Technology     222            22             
Broker 2       Technology     222            22             
Broker 3       Technology     222            22             
Broker 4       Technology     222            22             
Broker 2       Banking        146            22             
Broker 3       Banking        146            22             
Broker 4       Banking        146            22             
Broker 1       Retail         63             22             
Broker 4       Retail         63             22             
Broker 2       Commodity      741            22             
Broker 4       Commodity      741            22             
Broker 1       Technology     223            23             
Broker 2       Technology     223            23             
Broker 3       Technology     223            23             
Broker 4       Technology     223            23             
Broker 1       Retail         64             23             
Broker 4       Retail         64             23             
Broker 2       Commodity      750            23             
Broker 4       Commodity      750            23             
Broker 2       Banking        148            23             
Broker 3       Banking        148            23             
Broker 4       Banking        148            23             
Broker 1       Technology     226            24             
Broker 2       Technology     226            24             
Broker 3       Technology     226            24             
Broker 4       Technology     226            24             
Broker 1       Retail         65             24             
Broker 4       Retail         65             24             
Broker 2       Commodity      756            24             
Broker 4       Commodity      756            24             
Broker 2       Banking        151            24             
Broker 3       Banking        151            24             
Broker 4       Banking        151            24             
Broker 1       Technology     231            25             
Broker 2       Technology     231            25             
Broker 3       Technology     231            25             
Broker 4       Technology     231            25             
Broker 1       Retail         67             25             
Broker 4       Retail         67             25             
Broker 2       Banking        153            25             
Broker 3       Banking        153            25             
Broker 4       Banking        153            25             
Broker 2       Commodity      776            25             
Broker 4       Commodity      776            25             
Broker 1       Technology     232            26             
Broker 2       Technology     232            26             
Broker 3       Technology     232            26             
Broker 4       Technology     232            26             
Broker 1       Retail         68             26             
Broker 4       Retail         68             26             
Broker 2       Commodity      784            26             
Broker 4       Commodity      784            26             
Broker 2       Banking        155            26             
Broker 3       Banking        155            26             
Broker 4       Banking        155            26             
Broker 1       Technology     234            27             
Broker 2       Technology     234            27             
Broker 3       Technology     234            27             
Broker 4       Technology     234            27             
Broker 2       Commodity      790            27             
Broker 4       Commodity      790            27             
Broker 1       Retail         69             27             
Broker 4       Retail         69             27             
Broker 2       Banking        158            27             
Broker 3       Banking        158            27             
Broker 4       Banking        158            27             
Broker 1       Technology     236            28             
Broker 2       Technology     236            28             
Broker 3       Technology     236            28             
Broker 4       Technology     236            28             
Broker 2       Commodity      797            28             
Broker 4       Commodity      797            28             
Broker 1       Retail         70             28             
Broker 4       Retail         70             28             
Broker 2       Banking        161            28             
Broker 3       Banking        161            28             
Broker 4       Banking        161            28             
Broker 1       Technology     237            29             
Broker 2       Technology     237            29             
Broker 3       Technology     237            29             
Broker 4       Technology     237            29             
Broker 2       Commodity      798            29             
Broker 4       Commodity      798            29             
Broker 1       Retail         71             29             
Broker 4       Retail         71             29             
Broker 2       Banking        162            29             
Broker 3       Banking        162            29             
Broker 4       Banking        162            29             
Broker 1       Technology     240            30             
Broker 2       Technology     240            30             
Broker 3       Technology     240            30             
Broker 4       Technology     240            30             
Broker 2       Commodity      807            30             
Broker 4       Commodity      807            30             
Broker 1       Retail         72             30             
Broker 4       Retail         72             30             
Broker 2       Banking        164            30             
Broker 3       Banking        164            30             
Broker 4       Banking        164            30             
